,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,fumbles_forced,games,player_id,name,team_abbreviation
176,20.5,51.0,1.0,48.0,99.0,10.0,3.0,35.0,bryan-cox-jr-1,Bryan Cox Jr.,Florida
177,27.0,87.0,8.0,65.0,152.0,11.5,1.0,49.0,corey-peters-1,Corey Peters,Kentucky
178,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,senio-kelemete-1,Senio Kelemete,Washington
180,37.5,80.0,4.0,83.0,163.0,15.5,2.0,52.0,cameron-heyward-1,Cameron Heyward,Ohio State
182,20.5,51.0,0.0,30.0,81.0,9.0,1.0,30.0,olivier-vernon-1,Olivier Vernon,Miami (FL)
183,13.5,46.0,0.0,44.0,90.0,9.5,3.0,24.0,tuzar-skipper-1,Tuzar Skipper,Toledo
184,35.5,82.0,16.0,60.0,142.0,19.5,5.0,45.0,jabaal-sheard-1,Jabaal Sheard,Pitt
185,19.0,36.0,3.0,26.0,62.0,10.5,1.0,24.0,aaron-lynch-1,Aaron Lynch,Notre Dame
186,19.0,42.0,6.0,44.0,86.0,13.0,2.0,19.0,chris-smith-14,Chris Smith,Arkansas
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,terrell-suggs-1,Terrell Suggs,Arizona State
189,35.5,65.0,5.0,64.0,129.0,22.5,5.0,35.0,joe-jackson-3,Joe Jackson,Miami (FL)
190,2.0,7.0,0.0,10.0,17.0,0.0,0.0,0.0,malcom-brown-1,Malcom Brown,Texas
191,28.0,80.0,10.0,19.0,99.0,16.0,6.0,28.0,takkarist-mckinley-1,Takkarist McKinley,UCLA
192,14.5,47.0,2.0,43.0,90.0,3.5,2.0,37.0,sebastian-joseph-1,Sebastian Joseph,Rutgers
194,2.0,12.0,1.0,18.0,30.0,0.5,0.0,13.0,daquan-jones-1,Daquan Jones,Penn State
197,57.0,134.0,3.0,76.0,210.0,33.5,14.0,48.0,ryan-kerrigan-1,Ryan Kerrigan,Purdue
198,25.0,75.0,5.0,39.0,114.0,17.0,5.0,45.0,brooks-reed-1,Brooks Reed,Arizona
199,4.0,10.0,2.0,5.0,15.0,4.0,0.0,0.0,anthony-zettel-1,Anthony Zettel,Penn State
200,9.5,29.0,0.0,34.0,63.0,2.5,0.0,28.0,stacy-mcgee-1,Stacy McGee,Oklahoma
202,21.5,57.0,4.0,44.0,101.0,5.0,4.0,35.0,dontari-poe-1,Dontari Poe,Memphis
203,21.5,48.0,4.0,59.0,107.0,7.0,3.0,26.0,star-lotulelei-1,Star Lotulelei,Utah
204,7.0,41.0,0.0,45.0,86.0,1.5,2.0,34.0,michael-dogbe-1,Michael Dogbe,Temple
206,6.0,32.0,3.0,31.0,63.0,2.0,1.0,25.0,devon-kennard-1,Devon Kennard,USC
207,32.0,76.0,9.0,51.0,127.0,18.5,4.0,26.0,bronson-kaufusi-1,Bronson Kaufusi,Brigham Young
208,20.5,33.0,0.0,47.0,80.0,5.5,3.0,31.0,caleb-brantley-1,Caleb Brantley,Florida
209,10.5,23.0,2.0,21.0,44.0,3.0,2.0,13.0,ben-banogu-1,Ben Banogu,Louisiana-Monroe
211,26.0,67.0,4.0,38.0,105.0,11.5,0.0,32.0,adam-gotsis-1,Adam Gotsis,Georgia Tech
212,29.5,57.0,1.0,86.0,143.0,6.5,1.0,41.0,linval-joseph-1,Linval Joseph,East Carolina
213,51.0,101.0,6.0,47.0,148.0,26.0,5.0,38.0,joey-bosa-1,Joey Bosa,Ohio State
214,15.0,45.0,1.0,49.0,94.0,8.0,0.0,50.0,beau-allen-1,Beau Allen,Wisconsin
215,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,elijah-wilkinson-1,Elijah Wilkinson,Massachusetts
216,8.0,13.0,0.0,2.0,15.0,8.0,1.0,9.0,vic-beasley-1,Vic Beasley,Clemson
217,8.0,26.0,1.0,17.0,43.0,5.0,1.0,0.0,christian-covington-1,Christian Covington,Rice
219,1.5,15.0,1.0,11.0,26.0,1.0,0.0,26.0,tyler-shatley-1,Tyler Shatley,Clemson
220,23.0,51.0,9.0,52.0,103.0,5.5,1.0,29.0,rj-mcintosh-1,RJ McIntosh,Miami (FL)
221,20.5,44.0,0.0,52.0,96.0,8.5,0.0,13.0,sylvester-williams-1,Sylvester Williams,North Carolina
222,3.5,22.0,2.0,22.0,44.0,2.0,0.0,12.0,brandon-dunn-1,Brandon Dunn,Louisville
224,29.0,68.0,2.0,59.0,127.0,5.5,0.0,24.0,larry-ogunjobi-1,Larry Ogunjobi,Charlotte
225,13.0,42.0,1.0,22.0,64.0,10.0,1.0,29.0,dee-ford-1,Dee Ford,Auburn
226,4.5,7.0,0.0,9.0,16.0,3.0,0.0,0.0,antwaun-woods-1,Antwaun Woods,USC
227,14.0,38.0,0.0,37.0,75.0,4.0,0.0,13.0,timmy-jernigan-1,Timmy Jernigan,Florida State
228,15.5,56.0,8.0,55.0,111.0,7.0,1.0,33.0,kyle-phillips-3,Kyle Phillips,Tennessee
229,2.5,12.0,0.0,9.0,21.0,1.0,0.0,16.0,cameron-erving-1,Cameron Erving,Florida State
230,27.0,73.0,7.0,61.0,134.0,16.0,5.0,34.0,preston-smith-2,Preston Smith,Mississippi State
231,42.0,99.0,11.0,131.0,230.0,21.0,7.0,48.0,albert-mcclellan-1,Albert McClellan,Marshall
232,25.0,92.0,3.0,64.0,156.0,13.5,2.0,38.0,tyeler-davison-1,Tyeler Davison,Fresno State
233,8.0,34.0,2.0,39.0,73.0,3.5,0.0,41.0,al-woods-2,Al Woods,LSU
234,0.5,2.0,0.0,2.0,4.0,0.0,0.0,3.0,brennan-scarlett-1,Brennan Scarlett,California
