,points,receiving_touchdowns,total_touchdowns,fumbles_recovered,receptions,plays_from_scrimmage,receiving_yards,total_tackles,yards_from_scrimmage,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,patrick-onwuasor-1,Patrick Onwuasor,Arizona
69,140.0,23.0,23.0,0.0,215.0,221.0,2867.0,7.0,2905.0,23.0,45.0,scott-miller-3,Scott Miller,Bowling Green State
70,96.0,16.0,16.0,0.0,114.0,120.0,1730.0,3.0,1741.0,16.0,24.0,robby-anderson-1,Robby Anderson,Temple
71,42.0,6.0,7.0,0.0,66.0,119.0,987.0,2.0,1055.0,7.0,24.0,ryan-tannehill-1,Ryan Tannehill,Texas A&M
72,150.0,23.0,25.0,0.0,135.0,139.0,2235.0,1.0,2261.0,23.0,38.0,diontae-johnson-1,Diontae Johnson,Toledo
73,138.0,21.0,23.0,0.0,254.0,317.0,3361.0,4.0,3881.0,22.0,38.0,tyler-boyd-1,Tyler Boyd,Pitt
74,198.0,32.0,33.0,0.0,252.0,266.0,2930.0,4.0,3072.0,32.0,38.0,robert-woods-1,Robert Woods,USC
77,150.0,25.0,25.0,0.0,213.0,221.0,3092.0,8.0,3126.0,25.0,40.0,juju-smith-1,JuJu Smith-Schuster,USC
78,156.0,22.0,26.0,0.0,213.0,236.0,2889.0,2.0,3033.0,25.0,37.0,nkeal-harry-1,N'Keal Harry,Arizona State
79,144.0,24.0,24.0,0.0,210.0,227.0,2967.0,2.0,3051.0,24.0,39.0,isaiah-ford-1,Isaiah Ford,Virginia Tech
80,198.0,24.0,33.0,0.0,163.0,167.0,2256.0,3.0,2298.0,24.0,52.0,dante-pettis-1,Dante Pettis,Washington
81,246.0,41.0,41.0,0.0,253.0,267.0,4234.0,3.0,4283.0,41.0,50.0,taywan-taylor-1,Taywan Taylor,Western Kentucky
83,18.0,3.0,3.0,0.0,78.0,78.0,1098.0,0.0,1098.0,3.0,46.0,dontrelle-inman-1,Dontrelle Inman,Virginia
84,210.0,29.0,35.0,0.0,249.0,271.0,3710.0,7.0,3902.0,29.0,47.0,tyler-lockett-1,Tyler Lockett,Kansas State
85,90.0,14.0,15.0,0.0,100.0,104.0,1175.0,11.0,1247.0,14.0,46.0,braxton-berrios-1,Braxton Berrios,Miami (FL)
86,30.0,5.0,5.0,0.0,61.0,61.0,888.0,2.0,888.0,5.0,18.0,tim-patrick-2,Tim Patrick,Utah
87,222.0,24.0,37.0,1.0,229.0,298.0,3531.0,4.0,4029.0,31.0,50.0,ty-hilton-1,T.Y. Hilton,Florida International
88,90.0,13.0,15.0,0.0,131.0,156.0,2146.0,3.0,2272.0,14.0,49.0,travis-benjamin-1,Travis Benjamin,Miami (FL)
89,84.0,13.0,14.0,0.0,156.0,167.0,2270.0,4.0,2386.0,14.0,43.0,marvin-jones-1,Marvin Jones,California
90,138.0,22.0,23.0,0.0,168.0,173.0,2748.0,6.0,2771.0,23.0,37.0,trequan-smith-1,Tre'Quan Smith,UCF
91,120.0,17.0,20.0,0.0,205.0,235.0,2570.0,7.0,2800.0,19.0,33.0,keenan-allen-1,Keenan Allen,California
92,30.0,0.0,5.0,0.0,1.0,44.0,6.0,19.0,236.0,3.0,32.0,raheem-mostert-1,Raheem Mostert,Purdue
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,dion-jordan-1,Dion Jordan,Oregon
94,0.0,0.0,0.0,0.0,10.0,10.0,97.0,0.0,97.0,0.0,11.0,trevor-williams-1,Trevor Williams,Penn State
95,6.0,1.0,1.0,0.0,2.0,2.0,92.0,1.0,92.0,1.0,11.0,tyler-higbee-1,Tyler Higbee,Western Kentucky
97,174.0,22.0,29.0,0.0,162.0,186.0,2423.0,5.0,2622.0,23.0,36.0,desean-jackson-1,Desean Jackson,California
98,240.0,39.0,40.0,0.0,226.0,235.0,4472.0,3.0,4542.0,40.0,51.0,james-washington-5,James Washington,Oklahoma State
99,78.0,13.0,13.0,0.0,136.0,139.0,1512.0,3.0,1523.0,13.0,27.0,trey-quinn-1,Trey Quinn,LSU
100,186.0,22.0,31.0,0.0,305.0,377.0,3199.0,0.0,3730.0,26.0,41.0,antonio-brown-1,Antonio Brown,Central Michigan
101,246.0,41.0,41.0,0.0,231.0,233.0,3127.0,2.0,3128.0,41.0,26.0,michael-crabtree-1,Michael Crabtree,Texas Tech
102,84.0,14.0,14.0,0.0,113.0,114.0,1649.0,4.0,1642.0,14.0,33.0,austin-carr-1,Austin Carr,Northwestern
103,78.0,13.0,13.0,0.0,98.0,98.0,1496.0,1.0,1496.0,13.0,23.0,damion-willis-1,Damion Willis,Troy
104,138.0,23.0,23.0,0.0,183.0,183.0,3042.0,1.0,3042.0,23.0,40.0,alshon-jeffery-1,Alshon Jeffery,South Carolina
105,0.0,0.0,0.0,0.0,9.0,15.0,66.0,1.0,95.0,0.0,12.0,anthony-barr-1,Anthony Barr,UCLA
106,140.0,23.0,23.0,0.0,399.0,404.0,4279.0,3.0,4297.0,23.0,49.0,isaiah-jones-2,Zay Jones,East Carolina
107,168.0,22.0,28.0,0.0,114.0,134.0,1729.0,18.0,1924.0,24.0,40.0,john-ross-1,John Ross,Washington
108,72.0,12.0,12.0,0.0,94.0,96.0,1294.0,9.0,1290.0,12.0,40.0,deandrew-white-1,Deandrew White,Alabama
109,48.0,8.0,8.0,0.0,47.0,47.0,920.0,4.0,920.0,8.0,21.0,damion-ratley-1,Damion Ratley,Texas A&M
110,168.0,23.0,28.0,0.0,243.0,304.0,3249.0,2.0,3803.0,28.0,31.0,richie-james-1,Richie James,Middle Tennessee State
111,110.0,18.0,18.0,0.0,214.0,224.0,2842.0,3.0,2864.0,18.0,51.0,daesean-hamilton-1,DaeSean Hamilton,Penn State
112,96.0,16.0,16.0,0.0,65.0,65.0,957.0,2.0,957.0,16.0,22.0,auden-tate-1,Auden Tate,Florida State
114,120.0,20.0,20.0,0.0,218.0,218.0,2701.0,3.0,2701.0,20.0,41.0,river-cracraft-1,River Cracraft,Washington State
115,62.0,10.0,10.0,0.0,143.0,145.0,1804.0,4.0,1809.0,10.0,40.0,malik-turner-1,Malik Turner,Illinois
116,156.0,26.0,26.0,0.0,241.0,241.0,3360.0,7.0,3360.0,26.0,48.0,allen-lazard-1,Allen Lazard,Iowa State
117,144.0,20.0,24.0,0.0,178.0,185.0,2572.0,6.0,2590.0,20.0,40.0,nelson-agholor-1,Nelson Agholor,USC
118,126.0,19.0,21.0,0.0,181.0,191.0,2429.0,2.0,2504.0,21.0,51.0,tj-jones-2,T.J. Jones,Notre Dame
120,210.0,34.0,35.0,0.0,285.0,294.0,3791.0,12.0,3831.0,34.0,47.0,emmanuel-sanders-1,Emmanuel Sanders,SMU
121,84.0,12.0,14.0,0.0,143.0,150.0,2340.0,1.0,2417.0,12.0,40.0,odell-beckham-jr-1,Odell Beckham Jr.,LSU
122,96.0,16.0,16.0,0.0,177.0,177.0,2665.0,2.0,2665.0,16.0,35.0,kelvin-harmon-1,Kelvin Harmon,North Carolina State
123,6.0,1.0,1.0,0.0,3.0,3.0,46.0,9.0,46.0,1.0,9.0,marcus-sherels-1,Marcus Sherels,Minnesota
124,78.0,13.0,13.0,0.0,146.0,147.0,2466.0,0.0,2467.0,13.0,43.0,marcell-ateman-1,Marcell Ateman,Oklahoma State
125,6.0,1.0,1.0,0.0,21.0,21.0,362.0,1.0,362.0,1.0,10.0,david-njoku-1,David Njoku,Miami (FL)
126,30.0,5.0,5.0,0.0,60.0,60.0,786.0,3.0,786.0,5.0,18.0,stephen-anderson-2,Stephen Anderson,California
127,198.0,27.0,33.0,0.0,254.0,287.0,3286.0,5.0,3485.0,29.0,49.0,jakeem-grant-1,Jakeem Grant,Texas Tech
128,84.0,14.0,14.0,0.0,67.0,67.0,1228.0,0.0,1228.0,14.0,21.0,dk-metcalf-1,D.K. Metcalf,Ole Miss
129,126.0,18.0,21.0,0.0,160.0,189.0,2285.0,8.0,2491.0,21.0,26.0,kenny-golladay-1,Kenny Golladay,Northern Illinois
130,30.0,5.0,5.0,0.0,91.0,106.0,1163.0,6.0,1259.0,5.0,42.0,damari-scott-1,Da'Mari Scott,Fresno State
131,60.0,10.0,10.0,0.0,90.0,90.0,1164.0,6.0,1164.0,10.0,30.0,andre-patton-1,Andre Patton,Rutgers
132,6.0,1.0,1.0,0.0,6.0,6.0,113.0,0.0,113.0,1.0,11.0,jared-cook-2,Jared Cook,South Carolina
134,96.0,16.0,16.0,0.0,115.0,116.0,2243.0,1.0,2243.0,16.0,39.0,breshad-perriman-1,Breshad Perriman,UCF
135,66.0,9.0,11.0,0.0,136.0,158.0,1869.0,5.0,2153.0,11.0,39.0,trent-sherfield-1,Trent Sherfield,Vanderbilt
136,6.0,1.0,1.0,0.0,25.0,32.0,409.0,1.0,432.0,1.0,28.0,marvin-hall-1,Marvin Hall,Washington
137,156.0,15.0,26.0,0.0,135.0,163.0,1943.0,1.0,2156.0,18.0,37.0,ted-ginn-jr-1,Ted Ginn Jr.,Ohio State
138,90.0,15.0,15.0,0.0,137.0,137.0,1809.0,21.0,1809.0,15.0,40.0,jarvis-landry-1,Jarvis Landry,LSU
139,66.0,7.0,11.0,0.0,89.0,97.0,1399.0,1.0,1450.0,8.0,26.0,antonio-callaway-1,Antonio Callaway,Florida
140,108.0,18.0,18.0,0.0,139.0,151.0,2640.0,3.0,2660.0,18.0,26.0,cedric-wilson-3,Cedric Wilson,Boise State
141,78.0,12.0,13.0,0.0,119.0,129.0,1832.0,1.0,1944.0,13.0,39.0,marquez-valdes-scantling-1,Marquez Valdes-Scantling,North Carolina State
142,186.0,31.0,31.0,0.0,238.0,240.0,3648.0,3.0,3669.0,31.0,38.0,rashard-higgins-1,Rashard Higgins,Colorado State
145,126.0,21.0,21.0,0.0,196.0,201.0,2769.0,4.0,2772.0,21.0,47.0,ryan-grant-2,Ryan Grant,Tulane
146,54.0,9.0,9.0,0.0,105.0,108.0,1353.0,5.0,1359.0,9.0,27.0,demarcus-robinson-3,Demarcus Robinson,Florida
147,120.0,20.0,20.0,0.0,156.0,156.0,2371.0,4.0,2371.0,20.0,38.0,donte-moncrief-1,Donte Moncrief,Ole Miss
148,90.0,15.0,15.0,1.0,186.0,186.0,2133.0,5.0,2133.0,15.0,53.0,hunter-renfrow-1,Hunter Renfrow,Clemson
149,42.0,7.0,7.0,0.0,43.0,43.0,721.0,3.0,721.0,7.0,22.0,josh-gordon-1,Josh Gordon,Baylor
150,60.0,5.0,10.0,0.0,46.0,71.0,778.0,2.0,1086.0,8.0,12.0,cordarrelle-patterson-1,Cordarrelle Patterson,Tennessee
151,0.0,0.0,0.0,0.0,20.0,20.0,150.0,2.0,150.0,0.0,10.0,nathan-hairston-1,Nathan Hairston,Temple
152,6.0,1.0,1.0,0.0,5.0,5.0,107.0,0.0,107.0,1.0,7.0,blake-jarwin-1,Blake Jarwin,Oklahoma State
153,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,20.0,0.0,13.0,bennett-jackson-1,Bennett Jackson,Notre Dame
154,42.0,7.0,7.0,0.0,165.0,165.0,2292.0,2.0,2292.0,7.0,46.0,geremy-davis-1,Geremy Davis,Connecticut
155,128.0,21.0,21.0,0.0,177.0,177.0,2727.0,4.0,2727.0,21.0,38.0,mike-williams-17,Mike Williams,Clemson
156,84.0,12.0,14.0,0.0,109.0,113.0,1672.0,4.0,1675.0,12.0,37.0,trevor-davis-1,Trevor Davis,Hawaii
158,90.0,15.0,15.0,0.0,115.0,118.0,1526.0,3.0,1525.0,15.0,49.0,quincy-enunwa-1,Quincy Enunwa,Nebraska
159,18.0,3.0,3.0,0.0,35.0,37.0,389.0,4.0,396.0,3.0,19.0,robert-foster-1,Robert Foster,Alabama
161,54.0,8.0,9.0,0.0,71.0,95.0,1177.0,6.0,1428.0,9.0,12.0,albert-wilson-1,Albert Wilson,Georgia State
162,30.0,5.0,5.0,0.0,63.0,64.0,920.0,2.0,946.0,5.0,32.0,chris-lacy-2,Chris Lacy,Oklahoma State
163,66.0,11.0,11.0,0.0,79.0,79.0,1605.0,0.0,1605.0,11.0,29.0,darius-slayton-1,Darius Slayton,Auburn
164,144.0,24.0,24.0,0.0,275.0,283.0,3463.0,3.0,3490.0,24.0,51.0,keesean-johnson-1,KeeSean Johnson,Fresno State
166,242.0,37.0,40.0,0.0,238.0,269.0,3590.0,5.0,3738.0,40.0,38.0,anthony-miller-6,Anthony Miller,Memphis
167,216.0,35.0,36.0,0.0,387.0,388.0,4541.0,7.0,4548.0,36.0,49.0,justin-hardy-1,Justin Hardy,East Carolina
168,30.0,4.0,5.0,0.0,127.0,145.0,1226.0,9.0,1332.0,4.0,39.0,ray-ray-mccloud-1,Ray-Ray McCloud,Clemson
169,186.0,29.0,31.0,0.0,248.0,272.0,3655.0,3.0,3801.0,29.0,36.0,marqise-lee-1,Marqise Lee,USC
170,0.0,0.0,0.0,0.0,21.0,21.0,208.0,4.0,208.0,0.0,12.0,isaiah-johnson-4,Isaiah Johnson,Houston
171,174.0,23.0,29.0,0.0,283.0,304.0,3641.0,2.0,3776.0,24.0,52.0,jamison-crowder-1,Jamison Crowder,Duke
172,120.0,20.0,20.0,0.0,117.0,117.0,1938.0,3.0,1938.0,20.0,49.0,chris-conley-1,Chris Conley,Georgia
173,198.0,33.0,33.0,0.0,156.0,156.0,2775.0,2.0,2775.0,33.0,42.0,devante-parker-1,Devante Parker,Louisville
175,180.0,30.0,30.0,0.0,164.0,164.0,2788.0,2.0,2788.0,30.0,38.0,josh-reynolds-1,Josh Reynolds,Texas A&M
177,48.0,8.0,8.0,0.0,87.0,96.0,1186.0,16.0,1252.0,8.0,50.0,jaron-brown-1,Jaron Brown,Clemson
178,120.0,20.0,20.0,1.0,81.0,81.0,1667.0,24.0,1667.0,20.0,41.0,mack-hollins-1,Mack Hollins,North Carolina
179,6.0,1.0,1.0,0.0,72.0,73.0,841.0,18.0,853.0,1.0,40.0,justin-hardee-1,Justin Hardee,Illinois
180,134.0,21.0,22.0,0.0,126.0,141.0,2267.0,1.0,2385.0,21.0,26.0,dede-westbrook-1,Dede Westbrook,Oklahoma
181,18.0,2.0,3.0,0.0,36.0,46.0,588.0,16.0,714.0,3.0,22.0,cj-prosise-1,C.J. Prosise,Notre Dame
182,96.0,16.0,16.0,0.0,277.0,281.0,3486.0,7.0,3497.0,16.0,47.0,tajae-sharpe-1,Tajae Sharpe,Massachusetts
183,162.0,26.0,27.0,0.0,233.0,250.0,3482.0,1.0,3591.0,27.0,49.0,sterling-shepard-1,Sterling Shepard,Oklahoma
185,96.0,16.0,16.0,0.0,103.0,105.0,1638.0,2.0,1658.0,16.0,36.0,keith-kirkwood-1,Keith Kirkwood,Hawaii
186,60.0,10.0,10.0,0.0,46.0,46.0,892.0,2.0,892.0,10.0,20.0,johnny-holton-1,Johnny Holton,Cincinnati
187,204.0,34.0,34.0,0.0,161.0,162.0,2677.0,0.0,2684.0,34.0,26.0,larry-fitzgerald-1,Larry Fitzgerald,Pitt
188,0.0,0.0,0.0,0.0,33.0,33.0,318.0,5.0,318.0,0.0,12.0,bradley-mcdougald-1,Bradley McDougald,Kansas
191,68.0,11.0,11.0,0.0,125.0,126.0,2019.0,12.0,2032.0,11.0,38.0,olabisi-johnson-1,Olabisi Johnson,Colorado State
192,96.0,14.0,16.0,0.0,150.0,182.0,2227.0,1.0,2414.0,14.0,28.0,stefon-diggs-1,Stefon Diggs,Maryland
193,96.0,16.0,16.0,0.0,112.0,116.0,1592.0,2.0,1605.0,16.0,19.0,preston-williams-4,Preston Williams,Tennessee
